Timestamp	Filename	Error	Message
2018-11-05 09:27:47.025 -0800	fmajax.set_dev_path	0	script steps imported : 7
2018-11-05 09:27:47.026 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.027 -0800	Private	0	script steps imported : 0
2018-11-05 09:27:47.030 -0800	fmajax.exportXSL	0	script steps imported : 13
2018-11-05 09:27:47.032 -0800	JSONEncode	0	script steps imported : 3
2018-11-05 09:27:47.033 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.033 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.034 -0800	--	0	script steps imported : 0
2018-11-05 09:27:47.034 -0800	AMMcenter.fmp12	0	scripts imported : 19
2018-11-05 09:27:47.035 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 09:40:33.648 -0800	AMMcenter.fmp12	0	Import of scripts from file “FMAjax.fmp12” started
2018-11-05 09:40:33.656 -0800	Modules	0	script steps imported : 0
2018-11-05 09:40:33.657 -0800	fmajax	0	script steps imported : 0
2018-11-05 09:40:33.667 -0800	fmajax.READ ME	0	script steps imported : 102
2018-11-05 09:40:33.671 -0800	Public	0	script steps imported : 0
2018-11-05 09:40:33.677 -0800	fmajax.init	0	script steps imported : 14
2018-11-05 09:40:33.678 -0800	fmajax.return_temp_path	0	script steps imported : 2
2018-11-05 09:40:33.685 -0800	fmajax.(re)load_web_viewer ( [object name] )	0	script steps imported : 27
2018-11-05 09:40:33.693 -0800	fmajax.import_web_files ( [filename] )	0	script steps imported : 35
2018-11-05 09:40:33.705 -0800	fmajax.set_hash ( data )	0	script steps imported : 41
2018-11-05 09:40:33.714 -0800	fmajax.export_web_files ( [filename] )	0	script steps imported : 36
2018-11-05 09:40:33.724 -0800	fmajax.set_file ( data )	0	script steps imported : 30
2018-11-05 09:40:33.725 -0800	fmajax.set_receiving_viewer ( object name )	0	script steps imported : 9
2018-11-05 09:40:33.727 -0800	fmajax.set_callback ( js function name )	0	script steps imported : 9
2018-11-05 09:40:33.730 -0800	fmajax.new_code_file	0	script steps imported : 18
2018-11-05 09:40:33.733 -0800	fmajax.new_web_viewer	0	script steps imported : 20
2018-11-05 09:40:33.736 -0800	fmajax.set_dev_path	0	script steps imported : 7
2018-11-05 09:40:33.737 -0800	--	0	script steps imported : 0
2018-11-05 09:40:33.737 -0800	Private	0	script steps imported : 0
2018-11-05 09:40:33.740 -0800	fmajax.exportXSL	0	script steps imported : 13
2018-11-05 09:40:33.743 -0800	JSONEncode	0	script steps imported : 3
2018-11-05 09:40:33.744 -0800	--	0	script steps imported : 0
2018-11-05 09:40:33.744 -0800	--	0	script steps imported : 0
2018-11-05 09:40:33.745 -0800	--	0	script steps imported : 0
2018-11-05 09:40:33.745 -0800	AMMcenter.fmp12	0	scripts imported : 19
2018-11-05 09:40:33.746 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 09:50:09.038 -0800	AMMcenter.fmp12	0	Import of scripts from file “FMAjax.fmp12” started
2018-11-05 09:50:09.044 -0800	AMMcenter.fmp12	0	Script “Modules” imported as “Modules 2” since a script named “Modules” already exists.
2018-11-05 09:50:09.044 -0800	AMMcenter.fmp12	0	Script “fmajax” imported as “fmajax 2” since a script named “fmajax” already exists.
2018-11-05 09:50:09.045 -0800	AMMcenter.fmp12	0	Script “fmajax.READ ME” imported as “fmajax.READ ME 2” since a script named “fmajax.READ ME” already exists.
2018-11-05 09:50:09.046 -0800	AMMcenter.fmp12	0	Script “Public” imported as “Public 2” since a script named “Public” already exists.
2018-11-05 09:50:09.046 -0800	AMMcenter.fmp12	0	Script “fmajax.init” imported as “fmajax.init 2” since a script named “fmajax.init” already exists.
2018-11-05 09:50:09.047 -0800	AMMcenter.fmp12	0	Script “fmajax.return_temp_path” imported as “fmajax.return_temp_path 2” since a script named “fmajax.return_temp_path” already exists.
2018-11-05 09:50:09.048 -0800	AMMcenter.fmp12	0	Script “fmajax.(re)load_web_viewer ( [object name] )” imported as “fmajax.(re)load_web_viewer ( [object name] ) 2” since a script named “fmajax.(re)load_web_viewer ( [object name] )” already exists.
2018-11-05 09:50:09.048 -0800	AMMcenter.fmp12	0	Script “fmajax.import_web_files ( [filename] )” imported as “fmajax.import_web_files ( [filename] ) 2” since a script named “fmajax.import_web_files ( [filename] )” already exists.
